STATUS | wrapper  | 2002/11/13 22:50:42 | AOPA installed.
ERROR  | wrapper  | 2002/11/13 22:54:40 | CreateService failed - The specified service already exists. (0x431)
ERROR  | wrapper  | 2002/11/13 23:08:22 | CreateService failed - The specified service already exists. (0x431)
ERROR  | wrapper  | 2002/11/13 23:08:51 | CreateService failed - The specified service already exists. (0x431)
STATUS | wrapper  | 2002/11/13 23:08:51 | AOPA removed.
STATUS | wrapper  | 2002/11/13 23:08:52 | AOPA installed.
ERROR  | wrapper  | 2002/11/13 23:10:22 | CreateService failed - The specified service already exists. (0x431)
STATUS | wrapper  | 2002/11/13 23:10:22 | AOPA removed.
STATUS | wrapper  | 2002/11/13 23:10:22 | AOPA installed.
ERROR  | wrapper  | 2002/11/13 23:13:15 | CreateService failed - The specified service already exists. (0x431)
STATUS | wrapper  | 2002/11/13 23:13:15 | AOPA removed.
STATUS | wrapper  | 2002/11/13 23:13:16 | AOPA installed.
ERROR  | wrapper  | 2002/11/13 23:15:27 | CreateService failed - The specified service already exists. (0x431)
STATUS | wrapper  | 2002/11/13 23:15:27 | AOPA removed.
STATUS | wrapper  | 2002/11/13 23:15:28 | AOPA installed.
ERROR  | wrapper  | 2002/11/13 23:25:13 | CreateService failed - The specified service already exists. (0x431)
STATUS | wrapper  | 2002/11/13 23:25:13 | AOPA removed.
STATUS | wrapper  | 2002/11/13 23:25:14 | AOPA installed.
ERROR  | wrapper  | 2002/11/13 23:26:57 | CreateService failed - The specified service already exists. (0x431)
STATUS | wrapper  | 2002/11/13 23:26:57 | AOPA removed.
STATUS | wrapper  | 2002/11/13 23:26:58 | AOPA installed.
ERROR  | wrapper  | 2002/11/13 23:30:55 | CreateService failed - The specified service already exists. (0x431)
STATUS | wrapper  | 2002/11/13 23:30:55 | AOPA removed.
STATUS | wrapper  | 2002/11/13 23:30:56 | AOPA installed.
STATUS | wrapper  | 2002/11/13 23:32:16 | --> Wrapper Started as Console
STATUS | wrapper  | 2002/11/13 23:32:17 | Launching a JVM...
INFO   | jvm 1    | 2002/11/13 23:32:17 | Status: 11/13/02 11:32:17 PM PST SearchNamesApp.constructor: Loading configuration data from "D:\data\proj\SearchNames\aopa-config.xml".
INFO   | jvm 1    | 2002/11/13 23:32:18 | Status: 11/13/02 11:32:18 PM PST JDOMHelper.constructor(2): Will retry with file URL "file:/D:/data/proj/SearchNames/aopa-config.xml".
INFO   | jvm 1    | 2002/11/13 23:32:19 | Status: 11/13/02 11:32:19 PM PST SearchNamesConfig.loadConfigFile: FYI: No Run Logging specified in this configuration; process status information will continue to be sent to this log.
INFO   | jvm 1    | 2002/11/13 23:32:19 | Status: 11/13/02 11:32:19 PM PST DBConfig.getConnection: Connecting to database with connection string "jdbc:oracle:thin:@ender:1521:stack" as user "system".
INFO   | jvm 1    | 2002/11/13 23:32:21 | Status: 11/13/02 11:32:20 PM PST SearchNamesApp.constructor: Configured to listen on port 9000.
ERROR  | wrapper  | 2002/11/13 23:32:48 | Startup failed: Timed out waiting for signal from JVM.
ERROR  | wrapper  | 2002/11/13 23:32:48 | Java Virtual Machine did not exit on request, terminated
STATUS | wrapper  | 2002/11/13 23:32:54 | Launching a JVM...
INFO   | jvm 2    | 2002/11/13 23:32:54 | Status: 11/13/02 11:32:54 PM PST SearchNamesApp.constructor: Loading configuration data from "D:\data\proj\SearchNames\aopa-config.xml".
INFO   | jvm 2    | 2002/11/13 23:32:55 | Status: 11/13/02 11:32:55 PM PST JDOMHelper.constructor(2): Will retry with file URL "file:/D:/data/proj/SearchNames/aopa-config.xml".
INFO   | jvm 2    | 2002/11/13 23:32:56 | Status: 11/13/02 11:32:56 PM PST SearchNamesConfig.loadConfigFile: FYI: No Run Logging specified in this configuration; process status information will continue to be sent to this log.
INFO   | jvm 2    | 2002/11/13 23:32:56 | Status: 11/13/02 11:32:56 PM PST DBConfig.getConnection: Connecting to database with connection string "jdbc:oracle:thin:@ender:1521:stack" as user "system".
INFO   | jvm 2    | 2002/11/13 23:32:57 | Status: 11/13/02 11:32:57 PM PST SearchNamesApp.constructor: Configured to listen on port 9000.
ERROR  | wrapper  | 2002/11/13 23:33:25 | Startup failed: Timed out waiting for signal from JVM.
ERROR  | wrapper  | 2002/11/13 23:33:25 | Java Virtual Machine did not exit on request, terminated
STATUS | wrapper  | 2002/11/13 23:33:31 | Launching a JVM...
INFO   | jvm 3    | 2002/11/13 23:33:31 | Status: 11/13/02 11:33:31 PM PST SearchNamesApp.constructor: Loading configuration data from "D:\data\proj\SearchNames\aopa-config.xml".
INFO   | jvm 3    | 2002/11/13 23:33:32 | Status: 11/13/02 11:33:32 PM PST JDOMHelper.constructor(2): Will retry with file URL "file:/D:/data/proj/SearchNames/aopa-config.xml".
INFO   | jvm 3    | 2002/11/13 23:33:33 | Status: 11/13/02 11:33:33 PM PST SearchNamesConfig.loadConfigFile: FYI: No Run Logging specified in this configuration; process status information will continue to be sent to this log.
INFO   | jvm 3    | 2002/11/13 23:33:33 | Status: 11/13/02 11:33:33 PM PST DBConfig.getConnection: Connecting to database with connection string "jdbc:oracle:thin:@ender:1521:stack" as user "system".
INFO   | jvm 3    | 2002/11/13 23:33:34 | Status: 11/13/02 11:33:34 PM PST SearchNamesApp.constructor: Configured to listen on port 9000.
STATUS | wrapper  | 2002/11/13 23:33:34 | CTRL-C trapped.  Shutting down.
STATUS | wrapper  | 2002/11/13 23:33:59 | CTRL-C trapped.  Shutting down.
STATUS | wrapper  | 2002/11/13 23:33:59 | CTRL-C trapped.  Shutting down.
STATUS | wrapper  | 2002/11/13 23:34:00 | CTRL-C trapped.  Shutting down.
ERROR  | wrapper  | 2002/11/13 23:34:06 | JVM exited unexpectedly while stopping the application.
STATUS | wrapper  | 2002/11/13 23:34:06 | CTRL-C trapped.  Shutting down.
STATUS | wrapper  | 2002/11/13 23:34:06 | <-- Wrapper Stopped
ERROR  | wrapper  | 2002/11/14 11:21:32 | CreateService failed - The specified service already exists. (0x431)
STATUS | wrapper  | 2002/11/14 11:21:33 | AOPA removed.
STATUS | wrapper  | 2002/11/14 11:21:33 | AOPA installed.
STATUS | wrapper  | 2002/11/14 11:40:45 | AOPA removed.
FATAL  | wrapper  | 2002/11/14 11:42:40 | OpenService failed - The specified service does not exist as an installed service. (0x424)
STATUS | wrapper  | 2002/11/14 11:43:51 | --> Wrapper Started as Console
STATUS | wrapper  | 2002/11/14 11:43:52 | Launching a JVM...
INFO   | jvm 1    | 2002/11/14 11:43:52 | java.lang.NoClassDefFoundError: nie/sn/SearchNamesApp
INFO   | jvm 1    | 2002/11/14 11:43:52 | Exception in thread "main" 
ERROR  | wrapper  | 2002/11/14 11:43:52 | JVM exited while loading the application.
STATUS | wrapper  | 2002/11/14 11:43:59 | Launching a JVM...
INFO   | jvm 2    | 2002/11/14 11:43:59 | java.lang.NoClassDefFoundError: nie/sn/SearchNamesApp
INFO   | jvm 2    | 2002/11/14 11:43:59 | Exception in thread "main" 
ERROR  | wrapper  | 2002/11/14 11:44:00 | JVM exited while loading the application.
STATUS | wrapper  | 2002/11/14 11:44:06 | Launching a JVM...
STATUS | wrapper  | 2002/11/14 11:44:06 | CTRL-C trapped.  Shutting down.
INFO   | jvm 3    | 2002/11/14 11:44:06 | java.lang.NoClassDefFoundError: nie/sn/SearchNamesApp
INFO   | jvm 3    | 2002/11/14 11:44:06 | Exception in thread "main" 
ERROR  | wrapper  | 2002/11/14 11:44:06 | JVM exited unexpectedly while stopping the application.
STATUS | wrapper  | 2002/11/14 11:44:07 | <-- Wrapper Stopped
FATAL  | wrapper  | 2002/11/14 11:49:28 | unable to open config file. -c
STATUS | wrapper  | 2002/11/14 11:50:30 | --> Wrapper Started as Console
DEBUG  | wrapperp | 2002/11/14 11:50:31 | server listening on port 1777.
STATUS | wrapper  | 2002/11/14 11:50:32 | Launching a JVM...
